,Title,Runtime,Release Date,IMDB Rating,Critics Score,Votes,Gross
100,Casablanca,102 min,(1942),8.5,100,550208,1024560
101,La La Land,128 min,(2016),8.0,94,550048,151101803
102,Rocky,120 min,(1976),8.1,70,548462,117235247
103,The Notebook,123 min,(2004),7.8,53,548419,81001787
104,American Psycho,101 min,(2000),7.6,64,541331,15070285
105,Watchmen,162 min,(2009),7.6,56,531723,107509799
106,Blood Diamond,143 min,(2006),8.0,64,526849,57366262
107,Blade Runner 2049,164 min,(2017),8.0,81,522232,92054159
108,1917,119 min,(2019),8.3,78,520252,159227644
109,The Great Gatsby,143 min,(2013),7.2,55,514054,144840419
110,Troy,163 min,(2004),7.3,56,513510,133378256
111,Rise of the Planet of the Apes,105 min,(2011),7.5,68,512993,176760185
112,Ex Machina,108 min,(2014),7.7,78,512804,25442958
113,Zodiac,157 min,(2007),7.7,78,509140,33080084
114,Juno,96 min,(2007),7.4,81,507654,143495265
115,Nightcrawler,117 min,(2014),7.8,76,507433,32381218
116,Source Code,93 min,(2011),7.5,74,505184,54712227
117,Bohemian Rhapsody,134 min,(2018),7.9,49,501473,216428042
118,"Crazy, Stupid, Love.",118 min,(2011),7.4,68,499641,84351197
119,Casino,178 min,(1995),8.2,73,495854,42438300
120,Rain Man,133 min,(1988),8.0,65,495465,178800000
121,500 Days of Summer,95 min,(2009),7.6,76,494334,32391374
122,Baby Driver,113 min,(2017),7.6,86,492723,107825862
123,A Quiet Place,90 min,(2018),7.5,82,492501,188024361
124,The Perks of Being a Wallflower,103 min,(2012),7.9,67,488856,17742948
125,Children of Men,109 min,(2006),7.9,84,485473,35552383
126,The Pursuit of Happyness,117 min,(2006),8.0,64,483036,163566459
127,Hacksaw Ridge,139 min,(2016),8.1,71,481949,67209615
128,"Three Billboards Outside Ebbing, Missouri",115 min,(2017),8.1,88,476873,54513740
129,The Butterfly Effect,113 min,(2004),7.6,30,472606,57938693
130,Edward Scissorhands,105 min,(1990),7.9,74,469914,56362352
131,Dallas Buyers Club,117 min,(2013),8.0,79,468629,27298285
132,Love Actually,135 min,(2003),7.6,55,467848,59696144
133,American Hustle,138 min,(2013),7.2,90,466724,150117807
134,Hancock,92 min,(2008),6.4,49,465293,227946274
135,American Sniper,133 min,(2014),7.3,72,464656,350126372
136,Little Miss Sunshine,101 min,(2006),7.8,80,460499,59891098
137,Rush,123 min,(I) (2013),8.1,74,459654,26947624
138,Fury,134 min,(2014),7.6,64,459416,85817906
139,Dead Poets Society,128 min,(1989),8.1,79,458651,95860116
140,Warrior,140 min,(2011),8.1,71,455047,13657115
141,Spotlight,129 min,(I) (2015),8.1,93,450004,45055776
142,Twilight,122 min,(I) (2008),5.2,56,447781,191465414
143,The Girl with the Dragon Tattoo,158 min,(2011),7.8,71,447457,102515793
144,Captain Phillips,134 min,(2013),7.8,82,443290,107100855
145,The Help,146 min,(2011),8.0,62,443064,169708112
146,Mystic River,138 min,(2003),7.9,84,442529,90135191
147,Green Book,130 min,(2018),8.2,69,442523,85080171
148,The Hurt Locker,131 min,(2008),7.5,95,438874,17017811
149,Lost in Translation,102 min,(2003),7.7,89,438506,44585453
150,The Terminal,128 min,(2004),7.4,55,437013,77872883
151,It's a Wonderful Life,130 min,(1946),8.6,89,436357,none
152,Elysium,109 min,(I) (2013),6.6,61,435893,93050117
153,The Theory of Everything,123 min,(2014),7.7,71,430921,35893537
154,Big Fish,125 min,(2003),8.0,58,430814,66257002
155,Crash,112 min,(I) (2004),7.7,66,429695,54580300
156,Dune,155 min,(2021),8.2,74,428176,none
157,Citizen Kane,119 min,(1941),8.3,100,427788,1585634
158,Dawn of the Planet of the Apes,130 min,(2014),7.6,79,427011,208545589
159,Gangs of New York,167 min,(2002),7.5,72,426179,77812000
160,The Last Samurai,154 min,(2003),7.7,55,421128,111110575
161,Training Day,122 min,(2001),7.7,69,415789,76631907
162,American Gangster,157 min,(2007),7.8,76,412435,130164645
163,King Kong,187 min,(2005),7.2,81,410883,218080025
164,In Bruges,107 min,(2008),7.9,67,407913,7757130
165,Sicario,121 min,(2015),7.6,82,405733,46889293
166,Unbreakable,106 min,(2000),7.3,62,405036,95011339
167,The Big Short,130 min,(2015),7.8,81,401852,70259870
168,Moneyball,133 min,(2011),7.6,87,400158,75605492
169,The Shape of Water,123 min,(2017),7.3,87,400144,63859435
170,Platoon,120 min,(1986),8.1,92,399997,138530565
171,Room,118 min,(I) (2015),8.1,86,399410,14677674
172,28 Days Later,113 min,(2002),7.6,73,397699,45064915
173,The Devil Wears Prada,109 min,(2006),6.9,62,397523,124740460
174,Unforgiven,130 min,(1992),8.2,85,397291,101157447
175,Amadeus,160 min,(1984),8.3,88,387169,51973029
176,Stand by Me,89 min,(1986),8.1,75,385025,52287414
177,Collateral,120 min,(2004),7.5,71,384260,101005703
178,Black Hawk Down,144 min,(2001),7.7,74,382272,108638745
179,Passengers,116 min,(I) (2016),7.0,41,380420,100014699
180,The Godfather: Part III,162 min,(1990),7.6,60,380223,66666062
181,The Breakfast Club,97 min,(1985),7.8,66,378173,45875171
182,Easy A,92 min,(2010),7.0,72,377451,58401464
183,The Lives of Others,137 min,(2006),8.4,89,377425,11286112
184,The Game,129 min,(1997),7.7,61,375797,48323648
185,The Machinist,101 min,(2004),7.7,61,375750,1082715
186,3 Idiots,170 min,(2009),8.4,67,375162,6532908
187,The Town,125 min,(2010),7.5,74,373561,92186262
188,The Illusionist,110 min,(2006),7.6,68,365274,39868642
189,127 Hours,94 min,(2010),7.5,82,365134,18335230
190,A Star Is Born,136 min,(2018),7.6,88,363755,215288866
191,The Fault in Our Stars,126 min,(2014),7.7,69,362383,124872350
192,The Irishman,209 min,(2019),7.8,94,360693,7000000
193,Inside Man,129 min,(2006),7.6,76,358920,88513495
194,Sweeney Todd: The Demon Barber of Fleet Street,116 min,(2007),7.3,83,357629,52898073
195,Cloud Atlas,172 min,(2012),7.4,55,355950,27108272
196,The Fighter,116 min,(I) (2010),7.8,79,355015,93617009
197,The Devil's Advocate,144 min,(1997),7.5,60,353584,60984028
198,Jojo Rabbit,108 min,(2019),7.9,58,352106,349555
199,Signs,106 min,(2002),6.7,59,352084,227966634
200,The Aviator,170 min,(2004),7.5,77,350313,102608827
201,Man on Fire,146 min,(2004),7.7,47,350248,77911774
202,Le Mans '66,152 min,(2019),8.1,81,349188,117624028
203,Moon,97 min,(2009),7.8,67,349103,5009677
204,Boyhood,165 min,(I) (2014),7.9,100,347133,25379975
205,Hotel Rwanda,121 min,(2004),8.1,79,346821,23530892
206,Snowpiercer,126 min,(2013),7.1,84,346322,4563650
207,Downfall,156 min,(2004),8.2,82,345254,5509040
208,Brokeback Mountain,134 min,(2005),7.7,87,343285,83043761
209,50 First Dates,99 min,(2004),6.8,48,342989,120908074
210,Mulholland Drive,147 min,(2001),7.9,85,342295,7220243
211,Flight,138 min,(I) (2012),7.3,76,342115,93772375
212,Raging Bull,129 min,(1980),8.2,89,340074,23383987
213,Moonrise Kingdom,94 min,(2012),7.8,84,337165,45512466
214,Jackie Brown,154 min,(1997),7.5,64,335713,39673162
215,Once Upon a Time in America,229 min,(1984),8.3,75,335549,5321508
216,Due Date,95 min,(2010),6.5,51,335458,100539043
217,Seven Samurai,207 min,(1954),8.6,98,333396,269061
218,About Time,123 min,(I) (2013),7.8,55,329069,15322921
219,Up in the Air,109 min,(I) (2009),7.4,83,328914,83823381
220,The Deer Hunter,183 min,(1978),8.1,86,328490,48979328
221,True Grit,110 min,(2010),7.6,80,327818,171243005
222,Being John Malkovich,113 min,(1999),7.7,90,326187,22858926
223,50/50,100 min,(2011),7.6,72,324622,35014192
224,Shooter,124 min,(I) (2007),7.2,53,324230,47003582
225,Burn After Reading,96 min,(2008),7.0,63,323899,60355347
226,Eyes Wide Shut,159 min,(1999),7.4,68,323899,55691208
227,Pearl Harbor,183 min,(2001),6.2,44,323631,198542554
228,Equilibrium,107 min,(2002),7.4,33,321454,1203974
229,Les Misérables,158 min,(2012),7.6,63,321274,148809770
230,10 Things I Hate About You,97 min,(1999),7.3,70,320901,38176108
231,Click,107 min,(2006),6.4,45,320132,137355633
232,Hugo,126 min,(2011),7.5,83,316125,73864507
233,Top Gun,110 min,(1986),6.9,50,315441,179800601
234,Real Steel,127 min,(2011),7.0,56,315154,85468508
235,The Blind Side,129 min,(2009),7.6,53,314750,255959475
236,Chinatown,130 min,(1974),8.2,92,313843,8486653
237,The Proposal,108 min,(I) (2009),6.7,48,313743,163958031
238,The Hunt,115 min,(2012),8.3,77,310709,687185
239,10 Cloverfield Lane,103 min,(2016),7.2,76,310181,72082998
240,Fifty Shades of Grey,125 min,(2015),4.1,46,309735,166167230
241,Interview with the Vampire: The Vampire Chronicles,123 min,(1994),7.5,59,309106,105264608
242,Lucky Number Slevin,110 min,(2006),7.7,53,307834,22494487
243,The Book of Eli,118 min,(2010),6.9,53,307436,94835059
244,To Kill a Mockingbird,129 min,(1962),8.2,88,307419,none
245,The Secret Life of Walter Mitty,114 min,(2013),7.3,54,306935,58236838
246,Lord of War,122 min,(2005),7.6,62,306149,24149632
247,Gone with the Wind,238 min,(1939),8.1,97,305034,198676459
248,Annihilation,115 min,(I) (2018),6.8,79,304313,32732301
249,Magnolia,188 min,(1999),8.0,77,303434,22455976
